file,column,definition
casstudy_syms,date,"Trading date of the study."
casstudy_syms,sym,"kdb symbol, from the equity reference table."
casstudy_syms,isin,"ID_ISIN of the listing. The key the CAS whitelist and the index weights are matched on."
casstudy_syms,company_name,"Company name, from config/nifty50_weights.csv. Empty for non-members."
casstudy_syms,study_group,"NIFTY50 (index member), CAS_OTHER (CAS-eligible, not in the index) or NONCAS (the control arm)."
casstudy_syms,cas_eligible,"True when the ISIN is in the CAS whitelist, i.e. the name closes via the auction."
casstudy_syms,in_nifty50,"True when the ISIN is a NIFTY 50 constituent per config/nifty50_weights.csv."
casstudy_syms,nifty50_weight_pct,"Published index weight. Empty for non-members and for a member whose weight the source did not publish."
casstudy_syms,status,"ok = both the old-rule price and the auction print exist; no_old_rule_price; no_close_price; no_data."
casstudy_syms,old_rule_basis,"Which VWAP fed effect_bps: last30-continuous (17:15-17:45, the default) or clock-1730-1800."
casstudy_syms,px_old_rule_last30_continuous,"VWAP over [17:15; 17:45) HKT - the old rule (VWAP of the last 30 min of continuous) applied to today's session, which now ends at 17:45. The counterfactual close."
casstudy_syms,vol_last30_continuous,"Sum of size over that window."
casstudy_syms,n_trades_last30_continuous,"Number of records in that window."
casstudy_syms,px_old_rule_clock_1730_1800,"VWAP over [17:30; 18:00) HKT - the clock window the old rule occupied pre-CAS. For a control name this is its actual official close; for a CAS name it contains the auction print itself and must not be used as the counterfactual."
casstudy_syms,vol_clock_1730_1800,"Sum of size over that window."
casstudy_syms,n_trades_clock_1730_1800,"Number of records in that window."
casstudy_syms,window_shift_bps,"(px_old_rule_clock_1730_1800 / px_old_rule_last30_continuous - 1) * 10000. On a control name this is pure window artefact: what moving the 30-minute window 15 minutes later is worth on its own. The yardstick an index effect has to beat."
casstudy_syms,px_cas_reference,"CAS reference price: size wavg price over [17:30; 17:45) HKT = 15:00-15:15 IST. Centre of the exchange's +/-3% band."
casstudy_syms,vol_ref_window,"Sum of size over the reference window."
casstudy_syms,n_trades_ref_window,"Number of records in the reference window."
casstudy_syms,px_last_continuous,"Last price strictly before 17:45 HKT - the end of continuous trading."
